,text,cluster
0,"Critics say that children have to be protected from this ""bad world"" to enjoy their childhood and develope in the best way.",0
1,"I think comercials for children should be limited, and controlled.",0
2,"In my opion it is very important that children are protected from adversiting, because they are so easy to influence and probably believe the things that are said, even though they are not true.",0
3,"This means that children are manipulated more and more often, and in my opinion that should not be allowed.",0
4,"In my opinion, people should not have the urge to protect children from everything.",0
5,"There are some good points, but also many bad ones for the children.",0
6,"There is the question, how far we are gonig to go, to protect our children.",0
7,"Someone may take this to an extreme and say that kids' childish natures are being abused, which is highly questionable from a moralic point of view.",0
8,"In my opinion, television advertising directed toward young children should be allowed but the parents shouldn't let their children whatch TV too often because it's very important for their health and social life that they also do other things, for example play with their friends.",1
9,All in all I wouldn't allowed advertising in Tv for young children becouse of the strong aspects meanshen earlyer.,1
10,"On the one hand, television advertising directed toward young children should not be allowed because it's unhealthy for them to whatch television too often since that could cause that they don't move enough.",1
11,"So in my opinion television advertising directed toward young children in the age of two to five should not be allowed, because in this age children started making their first social contacts, which is very impotant for their growing up.",1
12,In my oppinion it is not good for young children to watch television advertising directed toward young children.,1
13,So I would say that television advertising toward young children should not be forbidden but the parents might know that they have to control the TV activity of their children.,1
14,All in all I would say that I donÂ´t agree with the statement that television advertising directed toward young children should not be allowed because I think that there is nothing to worry about if  little children come in contact with television advertisements.,1
15,So i would say that television advertising designed for young children is probably a bad thing for their parents money bag but should be allowed still for the reason that adverts for children most of the time don't want to steal your money and just want to show the product like every advert for an other product also does.,1
16,"Summarising all points I can conclude that television advertising directed toward young children should not be allowed, because of the negative impact this could have on their development and because of them being not reasonable enough to make their own decisions and to realise whether something is good or bad",1
17,"At my own opinion I will say, that television advertising for young children can be allowed, but it is not nessecary, because they do not watch much films .",1
18,"This is sad and depressing, isn`t ist?",2
19,That these little persons are influenced by such advertisement is a sad fact.,2
20,There is oral propaganda too.,2
21,"One cannot forget though, that children aged two to five may not have a sense for rational thinking or are conscious about money's worth at all, so they might see some completely useless and easily breakable item on TV, which they then want to have for christmas.",3
22,"Furthermore young children believe what they hear or what they see, so the advertisment could have negative effets on the children.",4
23,But there are many problems if children see advertisments which are focused on them.,4
24,On the one hand young children have to learn how to deal with advertising.,4
25,Advertising addressed to young children can create both a passion for life and a bad habit negatively incluencing one's life.,4
26,On the one hand a confrontation with this kind of advertising could be bad on the other hand children can only learn from it if they are confronted with it and learn to spectate advertising from other perspectives.,4
27,"The promblem with advertisement, which is directet to children, is that it does not aim for a better futer.",4
28,"Even though young children have contact with advertisment every day, advertisment directed to them would have a bigger impact on them and their behavior.",4
29,But there are also some reasons for advertisements towars young children.,4
30,That`s why there is the problem of advertisements directed toward little children in the age from two to five.,4
31,"Advertisement for children does not have to be a bad thing, it can be used to influence them so that their behaviour will have a positive effekt on society and nature.",4
32,"For sure, children are manipulated by exciting advertisements and are used to make their parents buy these products, but if parents are upset with that, they shouldn't allow their child to be manipulated.",5
33,"Even though they might get the product, advertising is not all about reality and the child might get disappointed.",5
34,"The children have to learn, that not everinthing is like it looks in the advert.",5
35,"The companies actually manipulate the children because especially the younger ones, aged two to five, can't decide whether it is something they really need or if it was simply shown in an advertisement.",5
36,"On the other hand children are learning very much in this part of life, so the advertisment gives them the chance to make up their own mind about some products.",5
37,"Even if the child really wants the product that was advertised on TV, the decisions if it's bought or not will be made by the parents.",5
38,One stong arguement againt advertising towards young children is that they don't realise this manipulation.,5
39,If those young children see advertising for the necessary or the right stuff it might be usefull that they watch this advertising.,5
40,"Even on such a young age they can also make their own experiences with consum.It could be a way for them to experience that advertising is not always the truth.In my opinion it would be good, if children learn the difference between what they are told as a (Zielperson) ,and what things are realy like,on a young age.",5
41,One reason for this is that young children don't have the experience to see if a product of their favour is useful or useless for them.,5
42,Another aspect is that children believe in everything what they see.,6
43,"The children believe every word and can get a wrong image   of what is realy important in life, because they do not have any experiences like that yet.",6
44,So they believe in wrong things and regard lies as true.,6
45,For example that little girls could think that unicorns and elves are real because they saw that in TV.,6
46,"But it is normal for kids to believe in things that aren't real, like princesses or fairytales.",6
47,"As many smaller childreen (aged two to five) believe in evrerthing they hear or see because they are not able to bild their own opinion yet, they are a popular victim of advertising companies.",6
48,"At his age children can not decide what is good and what is bad, so if their hear for example: war is good, they maybe think this is true.",6
49,They believe almost everything.,6
50,"If you tell a child that Santa Clause exists, it will believe.",6
51,I would say that television advertising should not be allowed on channels for children and for children in general.,7
52,I think this is something that can be as good as bad.,8
53," For the question, if the advertising directed toward young children shoul not be allowed, you can think on some opinions for and against it.",9
